#{"t_start": 1733529361.793109, "env_id": "BipedalWalker-v3"}
r,l,t
-42.495903,1600,17396.864879
-30.422484,1600,17397.398601
-36.006176,1600,17397.939466
-46.162455,1600,17398.526793
-13.309312,1600,17399.033195
-42.047387,1600,17498.534899
-60.711941,1600,17499.016987
-64.017046,1600,17499.554246
-59.294066,1600,17500.258508
-64.329569,1600,17500.80081
-32.052549,1600,17598.34757
-8.069691,1600,17598.818599
-31.269443,1600,17599.339086
-31.072063,1600,17599.83446
-30.962324,1600,17600.32001
-65.77806,1600,17686.01222
-71.380785,1600,17686.460758
-38.909484,1600,17686.906939
-70.214171,1600,17687.353894
-40.609966,1600,17687.782201
-151.368928,325,17773.108795
-72.793531,1600,17773.59851
-130.529636,192,17773.655475
-145.532272,265,17773.732898
-60.995494,1600,17774.196126
-24.227905,1600,17865.280988
-34.452669,1600,17865.784926
-128.292751,128,17865.825231
-33.195522,1600,17866.316141
-114.177995,422,17866.450532
-49.008066,1600,17960.670734
-39.120969,1600,17961.201238
-46.434418,1600,17961.724421
-37.560366,1600,17962.344544
-63.238987,1600,17962.912705
-37.342639,1600,18068.340918
-38.956284,1600,18068.909124
-34.925766,1600,18069.484761
-33.822136,1600,18070.135685
-71.688919,1600,18070.68982
-82.166261,1600,18174.334914
-82.785939,1600,18174.872286
-87.836766,1600,18175.404006
-75.236113,1600,18175.946682
-82.284312,1600,18176.751103
-40.199361,1600,18277.862973
-40.291975,1600,18278.454958
-41.683895,1600,18279.051683
-39.737162,1600,18279.676903
-40.298082,1600,18280.359043
-51.772197,1600,18375.533624
-138.322407,158,18375.584585
-116.411389,196,18375.644981
-47.586872,1600,18376.246648
-18.643621,1600,18376.743754
-52.164843,1600,18469.4094
-124.507674,133,18469.453702
-115.77106,60,18469.475005
-40.067458,1600,18469.976941
-120.841877,97,18470.009971
-56.280595,1600,18563.181712
-56.995375,1600,18563.692862
-55.139571,1600,18564.194135
-55.109516,1600,18564.696169
-55.326221,1600,18565.200568
-46.755434,1600,18658.935331
-59.224499,1600,18659.438249
-40.006489,1600,18659.937566
-72.83299,1600,18660.46376
-39.761623,1600,18660.990617
-50.023026,1600,18755.44603
-63.345448,1600,18755.96901
-49.135415,1600,18756.484669
-58.000936,1600,18757.002263
-54.66933,1600,18757.546796
-72.311392,1600,18851.944207
-69.045154,1600,18852.586359
-73.548218,1600,18853.108768
-70.486318,1600,18853.623915
-69.640156,1600,18854.137855
-30.375351,1600,18948.517182
-36.591545,1600,18949.030169
-26.837694,1600,18949.542901
-33.012256,1600,18950.05754
-60.566817,1600,18950.569329
-55.014006,1600,19046.645204
-55.789252,1600,19047.168724
-53.10464,1600,19047.688195
-55.145067,1600,19048.211874
-61.293444,1600,19048.739103
-126.47204,111,19145.432899
-124.863336,107,19145.469677
-41.31784,1600,19146.024711
-41.449234,1600,19146.589058
-132.106563,1600,19147.087367
