#{"t_start": 1736958512.554267, "env_id": "None"}
r,l,t
-31.032734,20,329.050054
-64.291985,55,329.144811
-32.376257,41,329.200094
-40.617481,46,329.265668
-15.084135,18,329.287301
-28.355742,19,329.307398
-9.98688,16,329.328386
-53.096492,39,329.381659
-20.404745,18,329.405755
-5.122508,10,329.417171
-17.136376,20,329.444148
-31.663291,27,329.480505
-24.686802,36,329.539255
-76.510444,66,329.635958
-66.16607,54,329.71692
-28.047154,32,329.762941
-38.076664,25,329.79452
-70.940665,59,329.876842
-50.681702,47,329.935289
-21.950049,23,329.96604
-22.663672,26,329.99644
-29.758371,24,330.033507
-30.273929,23,330.064115
-50.380263,51,330.138401
-30.229588,22,330.170917
-34.552769,23,330.206458
-39.73285,26,330.246184
-14.378085,19,330.274321
-21.141411,17,330.301806
-28.383675,20,330.326528
-19.903136,21,330.352511
-26.416916,18,330.375288
-50.58676,34,330.421631
-24.687314,24,330.450219
-26.893886,19,330.474542
-14.580516,22,330.502328
-19.0777,20,330.529019
-47.393927,38,330.579459
-52.576551,56,330.652908
-23.324307,18,330.676644
-29.139792,22,330.702341
-25.463947,18,330.72565
-33.565755,19,330.75446
-38.737437,31,330.794762
-31.204625,23,330.826281
-26.977951,17,330.863139
-34.040422,28,330.919587
-74.672941,51,331.001286
-25.115653,24,331.030065
-39.101637,32,331.069159
-59.532867,61,331.140818
-34.327519,36,331.193484
-26.715523,18,331.217211
-37.747491,41,331.256748
-42.485289,26,331.288635
-33.546263,24,331.322383
-49.538628,41,331.374491
-20.017977,16,331.396469
-33.584481,23,331.428809
-15.623005,15,331.446833
-30.605122,20,331.474025
-51.611934,44,331.53276
-33.2931,37,331.90066
-24.942124,17,331.921886
-33.577422,26,331.960696
-48.521016,32,332.002803
-62.262444,49,332.070077
-31.681048,26,332.101957
-6.886817,19,332.126845
-65.198609,50,332.19748
-5.204065,14,332.215227
-20.119321,24,332.245337
-23.672027,15,332.2651
-20.618428,15,332.285638
-33.771368,32,332.323125
-23.770976,20,332.349399
-18.382426,30,332.392292
-34.373504,24,332.424645
-24.974776,20,332.449442
-22.762412,14,332.467247
-70.494084,60,332.546551
-28.975948,27,332.591726
-20.783863,34,332.635322
-47.257558,38,332.693719
-11.654159,21,332.719739
-36.432004,26,332.752073
-44.203525,50,332.815585
-11.461482,16,332.83662
-29.485553,22,332.863673
-41.439615,27,332.899523
-28.663904,32,332.939623
-56.015878,47,332.999496
-50.475336,56,333.08342
-14.485826,16,333.103864
-45.015301,36,333.153134
-15.002941,19,333.180226
-62.663856,53,333.252988
-48.963822,35,333.3037
-36.413623,44,333.427123
-21.312021,18,333.474281
-31.238789,23,333.503768
-26.779765,24,333.537049
-14.037527,18,333.562452
-35.193082,24,333.596495
-15.371749,28,333.630494
-83.394771,86,333.735315
-43.48267,25,333.772965
-32.533645,23,333.806502
-61.717489,56,333.891169
-14.787779,22,333.921689
-18.927222,22,333.947248
-39.667922,41,333.997121
-20.917547,33,334.042065
-36.739665,28,334.079525
-79.335748,83,334.165384
-50.786718,47,334.232818
-18.207156,20,334.258367
-18.053832,13,334.273505
-84.611344,60,334.352317
-107.34157,95,334.476647
-17.222395,13,334.492755
-81.384042,68,334.586386
-16.214341,12,334.600661
-41.940922,30,334.644494
-17.921739,20,334.669552
-28.488864,31,335.022779
-37.557347,23,335.054236
-25.395393,25,335.082502
-21.860306,16,335.102628
-37.901666,30,335.149211
-19.339528,20,335.174792
-19.713416,26,335.209706
-28.521631,41,335.268338
-9.962453,17,335.289972
-25.183694,34,335.332994
-13.398853,22,335.363703
-30.485129,18,335.38466
-21.374948,19,335.409102
-24.037009,16,335.428781
-16.291079,29,335.472653
-16.928202,19,335.495989
-29.719701,25,335.549775
-45.054277,41,335.608522
-23.597001,24,335.640125
-27.33888,18,335.662976
-22.803372,26,335.6993
-41.058108,24,335.738032
-15.171373,16,335.761105
-24.055572,18,335.786568
-11.841294,22,335.813256
-11.671427,17,335.834695
-20.202203,32,335.876035
-31.488534,25,335.90964
-47.911152,58,335.983139
-15.534847,14,336.000309
-17.958903,18,336.023636
-19.405143,18,336.061854
-18.857654,25,336.113234
-17.993191,18,336.134023
-48.373764,49,336.197886
-20.983558,22,336.226646
-18.827588,16,336.248844
-19.798181,25,336.284942
-16.340912,18,336.306506
-27.389642,20,336.333128
-11.751174,18,336.355604
-34.576174,21,336.380739
-37.996399,27,336.416789
-13.074688,14,336.434933
-11.10606,15,336.453552
-26.555378,20,336.480015
-18.117265,23,336.504192
-29.267073,35,336.551226
-19.345426,29,336.589828
-7.143811,19,336.612606
-15.66504,20,336.640302
-26.569515,20,336.667215
-62.399146,59,336.756916
-30.014873,21,336.786796
-19.234919,15,336.807335
-7.628373,15,336.825439
-25.307768,20,336.851399
-28.645643,28,336.892181
-14.878826,13,336.907578
-44.237168,34,336.955266
-10.22002,14,336.972566
-55.962355,44,337.042492
-58.126125,51,337.10741
-56.13045,50,337.171465
-32.000221,23,337.200102
-24.153466,19,337.222314
-60.77604,49,337.288004
-23.952313,12,337.303412
-13.483629,18,337.325503
-32.142916,43,337.387865
-36.057562,32,337.434067
-23.651284,28,337.472142
-27.309347,36,337.518618
-43.408672,38,337.570539
-23.991983,18,337.593188
-38.470785,41,337.654829
-13.49919,22,337.685298
-14.9342,14,337.702979
-22.918567,16,337.72499
-21.433777,21,337.752471
-15.649388,22,337.777183
-9.988809,13,338.095319
-18.421584,25,338.127096
-26.274519,18,338.156843
-27.688143,25,338.199082
-26.907077,23,338.229589
-26.324408,18,338.25706
-21.131749,29,338.302066
-36.114562,27,338.34164
-32.740751,22,338.371953
-17.236036,23,338.401602
-24.970857,21,338.434682
-42.573405,33,338.479872
-16.828489,23,338.50992
-26.202659,36,338.550841
-41.753921,37,338.673368
-39.589484,41,338.76432
-51.279001,52,338.833872
-13.491043,28,338.879765
-30.948128,43,338.93866
-15.318655,14,338.95544
-29.408745,17,338.976238
-9.969463,15,338.994873
-32.947083,32,339.037682
-20.89239,18,339.06222
-12.819518,13,339.077182
-126.826871,124,339.246413
-19.304967,28,339.283774
-34.838018,23,339.311818
-28.000245,18,339.333781
-17.936389,18,339.354526
-35.568093,35,339.409965
-13.857947,17,339.430362
-17.910386,14,339.447576
-43.249506,40,339.500709
-18.876388,18,339.527358
-48.923865,42,339.587581
-6.405289,12,339.602073
-28.893268,20,339.628478
-33.874802,34,339.672726
-6.768099,12,339.687125
-38.974204,28,339.723801
-18.94165,23,339.755542
-23.604058,19,339.781869
-15.527561,23,339.81334
-21.582035,15,339.833576
-11.015211,15,339.853077
-7.253949,12,339.867243
-44.894722,34,339.914751
-17.431402,18,339.937818
-14.579951,20,339.961376
-47.11615,56,340.039312
-41.350377,23,340.064957
-35.489404,37,340.11164
-28.959817,26,340.150989
-13.680107,23,340.181578
-8.407863,13,340.199867
-9.633948,14,340.217771
-23.68399,19,340.241787
-48.288638,41,340.307742
-16.13647,24,340.463354
-43.644693,38,340.512324
-25.219297,32,340.559148
-18.442119,23,340.587368
-13.763833,27,340.626787
-7.796649,17,340.650644
-72.648612,67,340.752854
-26.397201,25,340.789197
-18.48306,30,340.84648
-30.001454,19,340.871997
-19.456562,14,340.890895
-31.631951,21,340.91616
-48.663259,41,340.972229
-26.350318,28,341.022162
-28.291643,22,341.064002
-16.758434,15,341.081216
-22.980172,18,341.104213
-37.934709,28,341.138088
-23.094693,16,341.462187
-12.49434,23,341.492022
-21.519405,25,341.524514
-14.617016,18,341.546273
-25.645087,37,341.596293
-7.992889,23,341.62967
-13.313346,15,341.648575
-36.499886,23,341.678841
-17.609467,22,341.707463
-44.231657,45,341.780205
-10.16105,12,341.793945
-27.286866,24,341.824354
-70.744603,47,341.882959
-36.697816,28,341.924078
-7.49213,14,341.942181
-25.606055,17,341.962795
-22.650409,16,341.981314
-45.820274,47,342.048445
-12.463167,14,342.06533
-18.75159,13,342.083636
-19.038111,17,342.10652
-12.253317,15,342.125409
-9.21579,13,342.141632
-18.048774,17,342.163197
-25.523809,29,342.210807
-16.352004,19,342.233871
-28.861352,34,342.280806
-20.895854,16,342.303836
-4.779523,14,342.321518
-19.166835,16,342.341769
-28.062417,20,342.36802
-28.158649,24,342.405082
-8.316053,14,342.421683
-14.954849,26,342.45465
-52.637378,68,342.549628
-14.814685,13,342.566075
-43.863925,37,342.619813
-27.308756,25,342.651221
-11.849124,33,342.699589
-21.060867,24,342.728301
-12.314198,25,342.766848
-24.360085,25,342.798855
-8.253523,16,342.820066
-18.230472,21,342.844913
-12.237859,18,342.869791
-27.508918,39,342.929688
-63.767324,49,343.015196
-13.535335,23,343.043778
-40.952084,45,343.107688
-13.924044,19,343.13305
-11.383164,17,343.153669
-37.578296,22,343.182991
-42.625815,37,343.23644
-38.673297,29,343.270905
-19.672362,20,343.295848
-8.243195,18,343.320665
-26.017477,21,343.346441
-15.337088,15,343.365839
-10.324485,15,343.386212
-9.736926,18,343.410246
-28.265338,27,343.441584
-13.001752,22,343.471562
-18.528498,17,343.49461
-29.852602,25,343.525275
-17.207983,17,343.550802
-32.909965,36,343.598833
-30.580636,32,343.653991
-35.121139,27,343.71221
-101.32775,98,343.860315
-8.302833,14,343.878332
-15.703938,18,343.90545
-10.824248,13,343.922121
-22.978721,20,343.951235
-29.897354,19,343.978469
-13.193921,13,343.994417
-43.630006,32,344.043865
-26.59858,29,344.083078
-19.776753,17,344.104601
-20.205883,15,344.123592
-31.554358,30,344.161509
-28.975143,18,344.183104
-16.194373,15,344.203339
-7.040635,19,344.235166
-9.28409,19,344.259651
-18.036872,16,344.583561
-28.186669,28,344.621947
-59.700023,43,344.67749
-13.363646,19,344.702554
-11.870436,16,344.721901
-12.875029,19,344.747058
-12.340401,22,344.776445
-28.549798,31,344.822975
-18.005126,20,344.850077
-22.835323,29,344.892846
-21.653924,26,344.928917
-12.815525,19,344.956513
-12.071758,12,344.971561
-5.916752,13,344.988276
-16.492695,18,345.011172
-11.326115,22,345.040777
-43.134838,42,345.096109
-19.395803,31,345.131674
-14.702222,31,345.17361
-37.833519,28,345.212413
-11.942552,17,345.239394
-24.374287,19,345.260852
-7.743108,20,345.290445
-15.262698,21,345.320055
-11.597753,17,345.340779
-17.728067,23,345.365029
-9.912779,16,345.385414
-9.422161,17,345.404963
-14.987899,18,345.425663
-9.980452,20,345.457377
-18.984626,21,345.480302
-13.476516,16,345.499567
-16.33844,16,345.519405
-11.318298,16,345.538465
-12.004617,17,345.560319
-25.848328,20,345.587102
-37.149151,27,345.627836
-9.242169,14,345.645425
-54.773811,43,345.702373
-8.860101,15,345.720836
-32.796584,46,345.774905
-41.777098,29,345.81975
-18.078919,20,345.843019
-30.203123,32,345.889668
-14.699239,13,345.905239
-28.86378,24,345.937324
-34.460395,25,345.966081
-21.375656,17,345.988129
-24.401505,21,346.014557
-8.448915,19,346.039831
-11.484394,15,346.059098
-5.864979,15,346.081818
-30.397287,24,346.109818
-21.211257,21,346.136227
-21.229385,20,346.189415
-28.041778,31,346.244658
-14.799216,15,346.268134
-11.378907,13,346.284692
-35.255388,31,346.333034
-27.645505,23,346.367091
-15.070675,18,346.397361
-18.613004,19,346.423959
-12.747229,22,346.456344
-11.840076,17,346.482522
-17.144206,22,346.513575
-17.809439,20,346.540226
-5.374519,12,346.556433
