#{"t_start": 1733529223.051278, "env_id": "BipedalWalker-v3"}
r,l,t
316.683298,830,18979.138391
318.953575,845,18986.130105
318.940837,836,18993.011451
318.875248,836,18999.833077
318.653567,826,19006.589757
319.260155,831,19013.962808
320.207632,816,19020.760005
319.200674,849,19027.689295
319.377231,858,19035.04027
319.774409,809,19041.764527
318.079942,828,19050.004764
316.225749,868,19057.027755
317.464729,853,19064.385236
317.238117,846,19071.329553
318.868942,830,19078.225293
318.336811,815,19085.099632
320.351931,823,19091.411029
319.260716,852,19098.596725
318.656917,842,19105.529251
321.03293,844,19112.782571
319.614547,810,19119.306646
319.515118,842,19126.014902
316.892262,867,19135.054238
319.08843,819,19141.802607
320.79637,821,19148.606655
319.472573,807,19155.58124
317.063877,865,19162.767852
318.818319,848,19170.281505
316.399906,872,19177.583916
314.904677,853,19184.736034
318.728444,853,19191.431935
317.934704,828,19198.742036
316.557965,837,19206.875522
320.529958,849,19214.525502
320.637059,840,19223.548711
319.405538,868,19231.292689
319.228948,846,19238.872653
320.396792,832,19246.880853
318.982228,820,19254.263854
316.74277,832,19262.148423
318.755718,850,19269.789466
321.76097,820,19277.109248
318.382228,838,19284.743815
320.171828,838,19292.14918
318.986972,822,19299.480701
318.969663,846,19308.669868
317.020133,843,19316.539787
317.631294,835,19324.179662
319.128106,828,19331.738197
318.696312,810,19339.124341
319.517322,823,19346.582876
320.202531,852,19354.295636
318.747633,832,19361.539376
319.318621,822,19368.618757
319.181243,822,19375.826334
318.559785,822,19382.603947
315.832229,858,19389.907255
317.913132,833,19397.056323
-3.03343,289,19400.855604
317.521585,828,19407.822785
318.24169,816,19414.934911
319.620494,831,19422.001425
320.731303,842,19429.119209
319.277683,827,19436.123172
320.519735,838,19443.333942
319.20494,849,19450.556577
320.758999,840,19457.745621
318.950252,830,19464.823329
318.104846,863,19472.346688
318.845174,866,19479.293098
321.008355,851,19487.869532
321.096104,845,19495.306426
319.095327,851,19502.824701
320.480395,814,19509.740504
319.82516,839,19516.858773
318.801221,814,19523.808884
320.248994,816,19531.23974
319.898869,830,19538.259956
320.085299,841,19545.364687
319.898211,829,19552.500709
318.835973,828,19559.680979
